"The Revelation of Jesus Christ, which God gave to Him to show to His servants things which must soon take place. He sent and signified it by His angel to His servant John|Di sitn dem we rait dong iina da buk ya, a di sitn dem we Gad shuo Jiizas Krais. Gad shuo im dem sitn ya, so im kuda tel im sorvant dem bout di sitn dem we suun apm. A dem sitn de Jiizas sen im ienjel go tel im sorvant Jan."
"who bears record of the word of God, and of the testimony of Jesus Christ, and of all things that he saw.|An Jan rait dong evriting wa im did si an ier. Im rait dong aal a di mesij dem we Gad sen im, an evriting we Jiizas Krais shuo im."
"Blessed is he who reads and those who hear the words of this prophecy and keep those things which are written in it, for the time is near.|Enibadi we riid di sitn dem we iina da buk ya out loud a-go api, an di wan dem we ier it an du wa it se, dem a-go api tu. Kaaz di taim suun kom wen aal a dem sitn de we Jiizas tel wi bout a-go apm."
"John, To the seven churches which are in Asia: Grace to you and peace from Him who is and who was and who is to come and from the seven Spirits who are before His throne|Dis a Jan. Mi a rait da leta ya tu di sevn choch dem we de iina Iezha. Mi a prie se Gad, di wan we alaiv, di wan we de bout fram wie bak wen, an di wan we a-go kom baka ort, an im Uoli Spirit we de infronta im chuon, wi gud an kain tu unu an gi unu piis iina unu aat. "
"and from Jesus Christ, who is the faithful witness, the firstborn from the dead, and the ruler of the kings of the earth.To Him who loved us and washed us from our sins in His own blood|An mi prie se Jiizas Krais, di wan we aalwiez taak di chuut bout Gad, wi gud an kain tu unu an gi unu piis iina unu aat. Im a di fos wan fi ded an kom bak alaiv, an a im ruul uova aal a di king dem we de pan ort. Jiizas a di wan we lov wi an a im frii wi fram wi sin dem wid im blod wen im ded pan di kraas."
"and has made us kings and priests to His God and Father, to Him be glory and dominion forever and ever. Amen.|Siek-a dat wi komiin laik wan fambili, wan gruup a priis fi sorv Gad im Faada. So wi fi ana an rispek Jiizas Krais fi eva an eva! Iemen!"
"Look! He is coming with clouds,and every eye will see Him,even those who pierced Him.And all the tribes of the earth will mourn because of Him.Even so, Amen.|Luk de! Im a kom iina di kloud, an evri yai a-go si im, iivn di wan dem we mek dem kil im wid di suod;an aal di piipl dem pan ort a-go baal siek-a im. A so it a-go go! Iemen."
"“I am the Alpha and the Omega, the Beginning and the End,” says the Lord, “who is and who was and who is to come, the Almighty.”|Di Laad Gad se, “A mi staat evriting an evriting don wid mi. Mi a di wan we alaiv, di wan we de bout fram wie bak wen, an di wan we a-go kom baka ort. A mi a di wan we av aal a di powa.”"
"I, John, both your brother and companion in the tribulation and kingdom and patience of Jesus Christ, was on the isle that is called Patmos on account of the word of God and the testimony of Jesus Christ. |Mi a Jan, unu breda an fren we a go chuu di siem sofarieshan we unu a go chuu. Aal a wi a-go tek paat iina Gad kindom, an siem laik unu, mi naa gi op — mi wi gwaan sofa til Gad kom bak. Kaaz mi priich Gad wod an tel piipl aal a di sitn dem we Jiizas shuo mi, dem put mi pan wan ailan niem Patmos. "
"I was in the Spirit on the Lord’s Day, and I heard behind me a great voice like a trumpet|Pan di die wen piipl gyada fi worship di Laad, di Uoli Spirit tek kanchuol a mi. Den mi ier wan vais baka mi, an di vais loud an klier laik wan chompit."
